No.,Time,Duration,ScreenX,ScreenY,DurationString,DurationOptions
318,121253,359,108,621,359,
319,121631,279,124,734,279,
320,121930,219,182,750,219,
321,122170,299,210,767,299,
322,122489,120,171,773,120,
323,122927,199,292,777,199,
324,123147,199,243,785,199,
325,123366,239,206,895,239,
326,123625,479,180,860,479,
327,124124,239,245,833,239,
328,124522,459,190,876,459,
329,125021,399,145,855,399,
330,125479,279,155,775,279,
331,125798,498,131,657,498,
332,126317,239,138,655,239,
333,126676,179,132,647,179,
334,126875,199,140,549,199,
335,127094,160,138,561,160,
336,127274,199,212,513,199,
337,127493,199,241,481,199,
338,127712,239,368,589,239,
339,127992,159,360,584,159,
340,128171,419,418,485,419,
341,128610,538,388,490,538,
342,129287,279,408,546,279,
343,129686,139,407,543,139,
344,129846,399,399,634,399,
345,130464,139,381,648,139,
346,130683,180,438,648,180,
347,130882,239,359,640,239,
348,131161,439,362,644,439,
349,131620,299,385,703,299,
350,131939,159,387,702,159,
351,132158,259,380,693,259,
352,132438,279,343,722,279,
353,132737,459,341,730,459,
354,133215,239,381,756,239,
355,133554,279,347,755,279,
356,133853,279,414,763,279,
357,134152,279,419,744,279,
358,134451,160,384,731,160,
359,134710,179,495,699,179,
360,134910,180,489,695,180,
361,135209,120,502,783,120,
362,135408,319,424,790,319,
363,135747,159,480,812,159,
364,135966,239,378,758,239,
365,136226,100,334,734,100,
366,136365,179,387,632,179,
367,136565,618,389,586,618,
368,137402,101,303,258,101,
369,137601,339,294,206,339,
370,138299,259,862,598,259,
371,138578,180,792,491,180,
372,138798,180,1047,518,180,
373,138997,199,1096,465,199,
374,139216,120,1080,525,120,
375,139356,179,1073,518,179,
376,139695,159,425,757,159,
377,139994,160,400,634,160,
378,140293,160,395,638,160,
379,140771,159,787,549,159,
380,141011,140,415,586,140,
381,141170,159,300,564,159,
382,141369,379,231,499,379,
383,141848,140,890,539,140,
384,142007,239,938,478,239,
385,142406,100,544,503,100,
386,142606,179,379,506,179,
387,142865,100,378,566,100,
388,143104,219,382,567,219,
389,143343,120,389,497,120,
390,143503,120,388,493,120,
391,143642,180,416,480,180,
392,143842,180,368,596,180,
393,144041,379,359,575,379,
394,144500,518,349,634,518,
395,145038,100,384,576,100,
396,145178,140,388,589,140,
397,145377,439,452,622,439,
398,145835,279,408,500,279,
399,146135,219,448,500,219,
400,146434,299,453,707,299,
401,146852,160,393,725,160,
402,147052,199,376,710,199,
403,147331,120,379,721,120,
404,147610,219,430,812,219,
405,148128,379,469,664,379,
406,148527,100,865,626,100,
407,148647,180,869,615,180,
408,148926,179,788,491,179,
409,149245,160,242,174,160,
410,149424,618,287,192,618,
411,150122,179,68,218,179,
412,150341,199,290,209,199,
413,150640,120,888,527,120,
414,150880,279,813,483,279,
415,151378,179,1113,739,179,
416,151578,518,878,611,518,
417,152116,339,883,618,339,
418,152475,180,789,499,180,
419,152674,140,790,501,140,
420,152973,100,788,482,100,
421,153093,159,815,486,159,
422,153292,259,1079,523,259,
423,153671,120,1089,506,120,
424,153810,239,1089,499,239,
425,154169,379,1061,548,379,
426,154568,120,1117,568,120,
427,154807,100,1167,569,100,
428,154927,219,1178,570,219,
429,155186,159,1082,572,159,
430,155385,758,1044,571,758,
431,156163,299,1047,642,299,
432,156482,199,1049,643,199,
433,156701,140,1051,639,140,
434,156861,180,1114,675,180,
435,157100,279,1012,710,279,
436,157479,160,984,692,160,
437,157658,339,974,654,339,
438,158037,100,1070,684,100,
439,158217,259,977,626,259,
440,158496,139,967,611,139,
441,158655,179,1002,629,179,
442,158855,179,983,656,179,
443,159054,279,985,667,279,
444,159353,618,1038,690,618,
445,160151,179,1033,569,179,
446,160370,359,1033,568,359,
447,160848,180,921,493,180,
448,161108,160,1039,548,160,
449,161347,140,388,531,140,
450,161586,180,250,481,180,
451,161925,140,671,568,140,
452,162264,518,947,464,518,
453,162802,299,956,457,299,
454,163121,319,950,454,319,
455,163480,479,947,465,479,
456,163979,179,966,458,179,
457,164278,159,1118,753,159,
458,164497,159,1109,746,159,
459,164796,140,979,684,140,
460,164955,140,1064,876,140,
