Time,Event_Key,Data1,Data2
2661130,1,915,922
2668447,1,786,760
2679124,1,115,267
2709209,1,786,764
2712429,1,744,836
2713705,1,745,841
2715719,1,865,901
2720515,1,745,837
2722559,1,731,838
2723836,1,793,870
2724543,1,798,871
2727274,1,686,927
2731880,1,805,958
2738041,1,938,978
2741191,1,1043,545
2745279,1,791,976
2765405,1,708,654
2767379,1,701,527
2769872,1,705,719
2772334,1,775,646
2773949,1,693,767
2774916,1,691,763
2775684,1,689,775
2776551,1,689,772
2778844,1,765,779
2780250,1,787,761
2781018,1,793,760
2785854,1,182,716
2789422,1,181,714
2792752,1,131,286
2802840,1,131,304
2806180,1,793,759
2817794,1,703,664
2818641,1,712,614
2820246,1,423,574
2822559,1,420,572
2824224,1,706,607
2835717,1,694,505
2849374,1,992,975
2859771,1,968,570
2862473,1,934,812
2867716,1,1012,709
2869086,1,969,573
2873250,1,1060,640
2879100,1,169,472
2885770,1,172,476
2896058,1,1271,203
2899856,1,213,253
2911918,1,290,481
2913314,1,315,481
2913872,1,322,481
2915866,1,295,479
2919016,1,307,692
2920750,1,111,270
2948821,1,146,281
2961650,1,1271,205
2970772,1,153,264
2971868,1,293,265
2980739,1,354,265
2981546,1,353,276
2982274,1,348,282
2988604,1,198,689
2991674,1,234,680
2993737,1,249,678
2995222,1,302,649
2996538,1,285,668
3000087,1,934,986
3000286,1,930,982
3000565,1,924,980
3013324,1,976,985
